device location,device type,accuracy value,first seen date,most recent date accessed,temperature,highest value,highest date,lowest value,lowest date
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:32,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:33,21.625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:33,22.125,43.5,2023/01/16-18:10:52,22.125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:23:34,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:35,18.8125,46.1875,2023/01/16-18:10:52,18.8125,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:37,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:38,21.625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:38,22.0625,43.5,2023/01/16-18:10:52,22.0625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:23:39,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:40,18.8125,46.1875,2023/01/16-18:10:52,18.8125,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:42,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:43,21.625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:43,22.0625,43.5,2023/01/16-18:10:52,22.0625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:23:44,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:45,18.8125,46.1875,2023/01/16-18:10:52,18.8125,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:47,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:48,21.5625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:49,22.0,43.5,2023/01/16-18:10:52,22.0,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:23:49,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:50,18.8125,46.1875,2023/01/16-18:10:52,18.8125,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:52,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:53,21.5625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:54,22.0,43.5,2023/01/16-18:10:52,22.0,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:23:54,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:55,18.8125,46.1875,2023/01/16-18:10:52,18.8125,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:23:57,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:58,21.5625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:23:59,21.9375,43.5,2023/01/16-18:10:52,21.9375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:23:59,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:00,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:02,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:03,21.5,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:04,21.9375,43.5,2023/01/16-18:10:52,21.9375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:04,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:05,18.8125,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:07,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:08,21.5,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:09,21.9375,43.5,2023/01/16-18:10:52,21.9375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:09,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:10,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:12,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:13,21.5,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:14,21.875,43.5,2023/01/16-18:10:52,21.875,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:14,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:15,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:17,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:18,21.4375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:19,21.875,43.5,2023/01/16-18:10:52,21.875,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:19,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:20,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:22,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:23,21.4375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:24,21.875,43.5,2023/01/16-18:10:52,21.875,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:25,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:25,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:27,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:28,21.4375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:29,21.8125,43.5,2023/01/16-18:10:52,21.8125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:30,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:30,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:32,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:33,21.375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:34,21.8125,43.5,2023/01/16-18:10:52,21.8125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:35,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:35,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:37,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:38,21.375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:39,21.8125,43.5,2023/01/16-18:10:52,21.8125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:40,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:40,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:42,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:43,21.375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:44,21.75,43.5,2023/01/16-18:10:52,21.75,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:45,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:45,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:47,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:48,21.375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:49,21.75,43.5,2023/01/16-18:10:52,21.75,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:50,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:51,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:52,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:53,21.3125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:54,21.6875,43.5,2023/01/16-18:10:52,21.6875,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:24:55,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:56,18.75,46.1875,2023/01/16-18:10:52,18.75,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:24:57,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:58,21.3125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:24:59,21.6875,43.5,2023/01/16-18:10:52,21.6875,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:00,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:01,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:02,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:03,21.3125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:04,21.625,43.5,2023/01/16-18:10:52,21.625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:05,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:06,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:07,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:08,21.25,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:09,21.625,43.5,2023/01/16-18:10:52,21.625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:10,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:11,18.75,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:12,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:13,21.25,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:14,21.625,43.5,2023/01/16-18:10:52,21.625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:15,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:16,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:17,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:18,21.25,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:19,21.5625,43.5,2023/01/16-18:10:52,21.5625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:20,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:21,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:23,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:23,21.1875,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:24,21.5625,43.5,2023/01/16-18:10:52,21.5625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:25,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:26,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:28,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:28,21.1875,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:29,21.5625,43.5,2023/01/16-18:10:52,21.5625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:30,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:31,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:33,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:33,21.1875,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:34,21.5,43.5,2023/01/16-18:10:52,21.5,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:35,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:36,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:38,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:38,21.1875,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:39,21.5,43.5,2023/01/16-18:10:52,21.5,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:40,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:41,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:43,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:43,21.125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:44,21.4375,43.5,2023/01/16-18:10:52,21.4375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:45,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:46,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:48,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:48,21.125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:49,21.4375,43.5,2023/01/16-18:10:52,21.4375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:50,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:51,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:53,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:53,21.125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:54,21.4375,43.5,2023/01/16-18:10:52,21.4375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:25:55,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:56,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:25:58,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:58,21.125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:25:59,21.375,43.5,2023/01/16-18:10:52,21.375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:26:00,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:01,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:03,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:03,21.0625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:04,21.375,43.5,2023/01/16-18:10:52,21.375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:26:05,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:06,18.6875,46.1875,2023/01/16-18:10:52,18.6875,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:08,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:09,21.0625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:09,21.375,43.5,2023/01/16-18:10:52,21.375,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:26:10,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:11,18.625,46.1875,2023/01/16-18:10:52,18.625,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:13,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:14,21.0625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:14,21.3125,43.5,2023/01/16-18:10:52,21.3125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:26:15,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:16,18.625,46.1875,2023/01/16-18:10:52,18.625,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:18,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:19,21.0,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:19,21.3125,43.5,2023/01/16-18:10:52,21.3125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:26:20,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:21,18.625,46.1875,2023/01/16-18:10:52,18.625,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:23,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:24,21.0,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:26:24,21.3125,43.5,2023/01/16-18:10:52,21.3125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:26:25,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:26:26,18.625,46.1875,2023/01/16-18:10:52,18.625,2023/01/17-09:20:25
